no_invoice,tanggal_invoice,tanggal_jatuh_tempo,kode_vendor,nama_vendor,npwp_vendor,nominal_dpp,ppn_11pct,total_tagihan,deskripsi_barang_jasa,terms_pembayaran,status_invoice
INV-SS-2026-001,2026-05-01,2026-05-15,VND-SS,PT Samsung Electronics Indonesia,01.234.567.8-001.000,40540540,4459460,45000000,Printer & Scanner Unit (5 unit),NET 14,LUNAS
INV-HP-2026-003,2026-05-03,2026-05-17,VND-HP,PT HP Indonesia,02.345.678.9-002.000,11261261,1238739,12500000,Laptop HP ProBook (5 unit),NET 14,LUNAS
INV-MS-2026-008,2026-05-07,2026-05-21,VND-MS,PT Microsoft Indonesia,03.456.789.0-003.000,25900900,2849100,28750000,Office 365 Lisensi (50 user),NET 14,LUNAS
INV-EPS-2026-010,2026-05-10,2026-05-24,VND-EPS,PT Epson Indonesia,04.567.890.1-004.000,8018018,881982,8900000,Tinta & Cartridge Printer (20 set),NET 14,LUNAS
INV-CAN-2026-012,2026-05-12,2026-05-26,VND-CAN,PT Canon Indonesia,05.678.901.2-005.000,13693694,1506306,15200000,Mesin Fotokopi IR2002 (1 unit),NET 14,LUNAS
INV-LEN-2026-013,2026-05-14,2026-05-28,VND-LEN,CV Lenovo Solutions Indonesia,06.789.012.3-006.000,20810811,2289189,23100000,ThinkPad Laptop (3 unit),NET 14,LUNAS
INV-ASUS-2026-014,2026-05-15,2026-05-29,VND-ASUS,CV Asus Technology Indonesia,07.890.123.4-007.000,16081081,1768919,17850000,Monitor ASUS ProArt (5 unit),NET 14,LUNAS
INV-TSB-2026-017,2026-05-17,2026-05-31,VND-TSB,PT Toshiba Enterprise Solutions,08.901.234.5-008.000,8468468,931532,9400000,External HDD 2TB (10 unit),NET 14,LUNAS
INV-ACR-2026-015,2026-05-14,2026-05-28,VND-ACR,PT Acer Indonesia,09.012.345.6-009.000,19819820,2180180,22000000,Monitor Acer V7 Series (8 unit),NET 14,LUNAS
INV-ACR-2026-016,2026-05-14,2026-05-28,VND-ACR,PT Acer Indonesia,09.012.345.6-009.000,14864865,1635135,16500000,Keyboard & Mouse Wireless (25 set),NET 14,LUNAS
INV-WD-2026-018,2026-05-19,2026-06-02,VND-WD,PT Western Digital Indonesia,10.123.456.7-010.000,18018018,1981982,20000000,SSD WD Blue 1TB (20 unit),NET 14,LUNAS
INV-SS-2026-019,2026-05-20,2026-06-03,VND-SS,PT Samsung Electronics Indonesia,01.234.567.8-001.000,28828829,3171171,32000000,Smart TV 55 inch (2 unit),NET 14,LUNAS
INV-HP-2026-015,2026-05-15,2026-05-29,VND-HP,PT HP Indonesia,02.345.678.9-002.000,6531531,718469,7250000,Toner & Drum HP LaserJet (10 set),NET 14,LUNAS
INV-EPS-2026-020,2026-05-20,2026-06-03,VND-EPS,PT Epson Indonesia,04.567.890.1-004.000,3738739,411261,4150000,Head Cleaner & Maintenance Kit (5 set),NET 14,LUNAS
INV-DELL-2026-023,2026-05-24,2026-06-07,VND-DELL,PT Dell Indonesia,11.234.567.8-011.000,30270270,3329730,33600000,Server PowerEdge R250 (1 unit),NET 14,LUNAS
INV-LEN-2026-024,2026-05-25,2026-06-08,VND-LEN,CV Lenovo Solutions Indonesia,06.789.012.3-006.000,10630630,1169370,11800000,IdeaPad Laptop (2 unit),NET 14,LUNAS
INV-LOG-2026-025,2026-05-26,2026-06-09,VND-LOG,PT Logitech Indonesia,12.345.678.9-012.000,6081081,668919,6750000,Webcam & Headset Kit (15 set),NET 14,LUNAS
INV-KST-2026-027,2026-05-27,2026-06-10,VND-KST,PT Kingston Technology Indonesia,13.456.789.0-013.000,11891892,1308108,13200000,RAM DDR4 16GB (40 unit),NET 14,LUNAS
INV-KST-2026-028,2026-05-27,2026-06-10,VND-KST,PT Kingston Technology Indonesia,13.456.789.0-013.000,8288288,911712,9200000,Flash Drive 64GB (100 unit),NET 14,LUNAS
INV-ACR-2026-026,2026-05-25,2026-06-08,VND-ACR,PT Acer Indonesia,09.012.345.6-009.000,13063063,1436937,14500000,Chromebook Acer 314 (5 unit),NET 14,OUTSTANDING
INV-MS-2026-022,2026-05-21,2026-06-04,VND-MS,PT Microsoft Indonesia,03.456.789.0-003.000,40540540,4459460,45000000,Azure Cloud License Annual,NET 14,OUTSTANDING
INV-HIK-2026-029,2026-05-27,2026-06-10,VND-HIK,PT Hikvision Indonesia,15.678.901.2-015.000,10450450,1149550,11600000,CCTV Camera System 8 Channel,NET 14,OUTSTANDING
INV-CSC-2026-030,2026-05-28,2026-06-11,VND-CSC,PT Cisco Systems Indonesia,14.567.890.1-014.000,60810811,6689189,67500000,Cisco Switch Catalyst 9200 (2 unit),NET 14,OUTSTANDING
