no_transaksi,tanggal,nama_pengirim,bank_pengirim,rekening_tujuan,nominal,keterangan,jenis_transaksi
TRX-2026-0001,2026-05-02,PT Samsung Electronics Indonesia,BCA,715-033-8829,45000000,Pelunasan INV-SS-2026-001 Mei 2026,KREDIT
TRX-2026-0002,2026-05-04,PT HP Indonesia,Mandiri,715-033-8829,12500000,Pelunasan Invoice HP-2026-003,KREDIT
TRX-2026-0003,2026-05-09,PT Microsoft Indonesia,BNI,715-033-8829,28750000,INV-MS-2026-008 April 2026,KREDIT
TRX-2026-0004,2026-05-11,PT Epson Indonesia,BCA,715-033-8829,8900000,Pembayaran INV-EPS-2026-010,KREDIT
TRX-2026-0005,2026-05-13,PT Canon Indonesia,Mandiri,715-033-8829,15200000,CANON INV-CAN-2026-012,KREDIT
TRX-2026-0006,2026-05-15,CV Lenovo Solution Indonesia,BCA,715-033-8829,23100000,Pelunasan tagihan Mei LEN,KREDIT
TRX-2026-0007,2026-05-16,Asus Technology Indo,Mandiri,715-033-8829,17850000,INV-ASUS-2026-014,KREDIT
TRX-2026-0008,2026-05-18,Toshiba Enterprise,BCA,715-033-8829,9400000,Pembayaran tagihan Mei 2026,KREDIT
TRX-2026-0009,2026-05-19,PT Acer Indonesia,BNI,715-033-8829,38500000,Pelunasan 2 tagihan ACR Mei,KREDIT
TRX-2026-0010,2026-05-20,PT Western Digital Indonesia,BCA,715-033-8829,19993500,INV-WD-2026-018 net biaya transfer,KREDIT
TRX-2026-0011,2026-05-21,PT Samsung Electronics Indonesia,Mandiri,715-033-8829,31993500,INV-SS-2026-019 less biaya admin,KREDIT
TRX-2026-0012,2026-05-17,PT HP Indonesia,BCA,715-033-8829,7250000,Invoice HP-2026-015,KREDIT
TRX-2026-0013,2026-05-21,PT Epson Indonesia,BNI,715-033-8829,4150000,INV-EPS-2026-020,KREDIT
TRX-2026-0014,2026-05-22,PT Indo Elektronik Nusantara,BCA,715-033-8829,5500000,DP Pesanan Juni 2026,KREDIT
TRX-2026-0015,2026-05-22,PT Samsung Electronics Indonesia,Mandiri,715-033-8829,2000000,Refund kelebihan bayar April,KREDIT
TRX-2026-0016,2026-05-23,PT Global Tech Solusi,BCA,715-033-8829,15200000,Pembayaran tagihan Mei 2026,KREDIT
TRX-2026-0017,2026-05-24,PT HP Indonesia,BCA,715-033-8829,8900000,Bayar invoice bulan ini,KREDIT
TRX-2026-0018,2026-05-25,PT Dell Indonesia,Mandiri,715-033-8829,33600000,INV-DELL-2026-023 Mei 2026,KREDIT
TRX-2026-0019,2026-05-26,CV Lenovo Solution Indonesia,BCA,715-033-8829,11800000,INV-LEN-2026-024,KREDIT
TRX-2026-0020,2026-05-27,PT Logitech Indonesia,BNI,715-033-8829,6750000,INV-LOG-2026-025,KREDIT
TRX-2026-0021,2026-05-28,PT Kingston Technology Indonesia,Mandiri,715-033-8829,22400000,INV-KST-2026-027 dan INV-KST-2026-028,KREDIT
